source_set,source_id,text,output_name,prompt_audio,prompt_text,seed,status,sample_rate,channels,frames,duration_seconds
old,000010,我已经收到你的邮件了。,test_010.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,74880,3.120000
old,000020,这家餐厅的菜很好吃。,test_020.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,71040,2.960000
old,000030,我准备回宿舍休息。,test_030.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,55680,2.320000
old,000040,希望今天能够顺利完成全部训练任务。,test_040.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,109441,4.560042
old,000050,你觉得这个方案怎么样？,test_050.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,72961,3.040042
old,000060,这个效果太自然了！,test_060.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,74880,3.120000
old,000070,今天温度是二十八摄氏度。,test_070.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,80640,3.360000
old,000080,多模态模型可以同时处理图像和文字。,test_080.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,109441,4.560042
old,000090,今天开始新的实验。,test_090.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,65280,2.720000
old,000100,希望我们的实验取得成功。,test_100.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,97920,4.080000
v2,000010,量化考核、薪酬与业绩挂钩的机制。,test_110.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,113280,4.720000
v2,000020,他只称太太亦很信任他。,test_120.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,94080,3.920000
v2,000030,能否重现亚特兰大奥运会上的辉煌？,test_130.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,92160,3.840000
v2,000040,你银行卡里竟然还有钱？,test_140.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,94080,3.920000
v2,000050,抹布也是很有用的哟！,test_150.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,74880,3.120000
v2,000060,有什么心事吗？可以和我分享一下呀。,test_160.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,111360,4.640000
v2,000070,其余的是斑胸草雀和枫鸟等种类。,test_170.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,122881,5.120042
v2,000080,父亲说他无钱为儿操办婚事，打算去卖肾。,test_180.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,138240,5.760000
v2,000090,网民们是否普遍受到过流氓软件的骚扰呢？,test_190.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,122881,5.120042
v2,000100,岁月荏苒，人生易老。,test_200.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\001.wav,今天的天气很好，适合出去散步。,42,success,24000,1,84480,3.520000
