source_set,source_id,text,output_name,prompt_audio,prompt_text,seed,status,sample_rate,channels,frames,duration_seconds
old,000010,我已经收到你的邮件了。,test_010.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,44160,1.840000
old,000020,这家餐厅的菜很好吃。,test_020.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,59520,2.480000
old,000030,我准备回宿舍休息。,test_030.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,44160,1.840000
old,000040,希望今天能够顺利完成全部训练任务。,test_040.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,92160,3.840000
old,000050,你觉得这个方案怎么样？,test_050.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,40320,1.680000
old,000060,这个效果太自然了！,test_060.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,61440,2.560000
old,000070,今天温度是二十八摄氏度。,test_070.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,59520,2.480000
old,000080,多模态模型可以同时处理图像和文字。,test_080.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,92160,3.840000
old,000090,今天开始新的实验。,test_090.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,55680,2.320000
old,000100,希望我们的实验取得成功。,test_100.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,74880,3.120000
v2,000010,量化考核、薪酬与业绩挂钩的机制。,test_110.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,105600,4.400000
v2,000020,他只称太太亦很信任他。,test_120.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,84480,3.520000
v2,000030,能否重现亚特兰大奥运会上的辉煌？,test_130.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,86400,3.600000
v2,000040,你银行卡里竟然还有钱？,test_140.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,78720,3.280000
v2,000050,抹布也是很有用的哟！,test_150.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,51840,2.160000
v2,000060,有什么心事吗？可以和我分享一下呀。,test_160.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,96000,4.000000
v2,000070,其余的是斑胸草雀和枫鸟等种类。,test_170.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,99840,4.160000
v2,000080,父亲说他无钱为儿操办婚事，打算去卖肾。,test_180.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,105600,4.400000
v2,000090,网民们是否普遍受到过流氓软件的骚扰呢？,test_190.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,101760,4.240000
v2,000100,岁月荏苒，人生易老。,test_200.wav,E:\xunfei-project-audio\基线代码\Qwen3-TTS-main\data\wavs\031.wav,如果时间允许，我们下午一起去实验室继续完成模型训练。,42,success,24000,1,74880,3.120000
